epoch,train_loss,valid_loss,valid_no_guidance_loss
0,0.1079456,0.0587830,0.0613738,guidance lower = 0.0025907570543961603
1,0.0520320,0.0508783,0.0534189,guidance lower = 0.0025405506484019458
2,0.0408596,0.0387659,0.0400304,guidance lower = 0.0012645521798194947
3,0.0360725,0.0308682,0.0322211,guidance lower = 0.001352911337445941
4,0.0329578,0.0319957,0.0338048,guidance lower = 0.0018091342674616054
5,0.0293003,0.0309080,0.0327087,guidance lower = 0.001800760722313173
6,0.0264454,0.0244794,0.0260693,guidance lower = 0.0015899588186771459
7,0.0239481,0.0213146,0.0238337,guidance lower = 0.0025190484160796216
8,0.0219785,0.0213922,0.0237673,guidance lower = 0.0023751352459956444
9,0.0211031,0.0204018,0.0233750,guidance lower = 0.002973280321711149
10,0.0200656,0.0179293,0.0210835,guidance lower = 0.003154176311233107
11,0.0192838,0.0203394,0.0240305,guidance lower = 0.0036911297207459434
12,0.0191538,0.0202536,0.0246315,guidance lower = 0.004377863489282437
13,0.0181484,0.0191836,0.0229000,guidance lower = 0.0037163368975504825
14,0.0177546,0.0172819,0.0213246,guidance lower = 0.004042626430208866
15,0.0176407,0.0161770,0.0202080,guidance lower = 0.004031020861405592
16,0.0167452,0.0179411,0.0223513,guidance lower = 0.004410211187906753
17,0.0164671,0.0167484,0.0216190,guidance lower = 0.004870626860513139
18,0.0169162,0.0192743,0.0256292,guidance lower = 0.006354864352406599
19,0.0158661,0.0152993,0.0204775,guidance lower = 0.0051781795680140835
20,0.0156272,0.0150424,0.0202296,guidance lower = 0.005187118425965311
21,0.0153817,0.0156630,0.0213572,guidance lower = 0.005694194744603757
22,0.0150032,0.0144202,0.0200745,guidance lower = 0.005654332538445793
23,0.0147265,0.0146931,0.0195970,guidance lower = 0.004903960590943314
24,0.0144690,0.0133906,0.0193073,guidance lower = 0.005916737043895785
25,0.0144053,0.0147084,0.0202587,guidance lower = 0.005550282649122752
26,0.0142736,0.0143844,0.0197290,guidance lower = 0.005344597455591729
27,0.0139009,0.0127532,0.0189729,guidance lower = 0.006219630893797446
28,0.0135908,0.0131356,0.0187656,guidance lower = 0.0056300851014944205
29,0.0136546,0.0127884,0.0187611,guidance lower = 0.005972647012617346
30,0.0134524,0.0131699,0.0190210,guidance lower = 0.005851124962553002
31,0.0129375,0.0134320,0.0190683,guidance lower = 0.005636250265897848
32,0.0128561,0.0118843,0.0187624,guidance lower = 0.00687811922473021
33,0.0127871,0.0116457,0.0179212,guidance lower = 0.006275474165494626
34,0.0128567,0.0131141,0.0187601,guidance lower = 0.005645972509414721
35,0.0122694,0.0133411,0.0200487,guidance lower = 0.006707623839760436
36,0.0123293,0.0118970,0.0186265,guidance lower = 0.006729552856622597
37,0.0122232,0.0128553,0.0193375,guidance lower = 0.006482158954709005
38,0.0119082,0.0107453,0.0177414,guidance lower = 0.0069961052101392
39,0.0117627,0.0124467,0.0186944,guidance lower = 0.0062477698501868136
40,0.0116432,0.0127316,0.0193857,guidance lower = 0.006654028661358051
41,0.0115235,0.0111924,0.0177271,guidance lower = 0.006534703243046235
42,0.0114397,0.0114490,0.0184656,guidance lower = 0.007016590891931303
43,0.0112603,0.0119744,0.0192909,guidance lower = 0.007316436881247241
44,0.0111762,0.0108895,0.0178199,guidance lower = 0.006930395698127076
45,0.0110418,0.0115105,0.0178053,guidance lower = 0.006294814702601004
46,0.0110741,0.0109948,0.0186276,guidance lower = 0.007632865283924801
47,0.0106938,0.0114891,0.0184339,guidance lower = 0.006944833418879755
48,0.0108708,0.0106299,0.0176795,guidance lower = 0.007049658049184542
49,0.0107080,0.0105806,0.0187863,guidance lower = 0.008205727172585634
50,0.0104407,0.0099312,0.0177379,guidance lower = 0.00780662602912157
51,0.0102783,0.0106923,0.0176229,guidance lower = 0.006930522071436431
52,0.0101891,0.0105126,0.0187759,guidance lower = 0.008263334727440124
53,0.0102588,0.0101698,0.0181447,guidance lower = 0.007974916639236303
54,0.0099573,0.0098392,0.0183165,guidance lower = 0.008477291474357627
55,0.0098707,0.0095350,0.0170973,guidance lower = 0.007562305754384933
56,0.0098372,0.0098458,0.0183470,guidance lower = 0.008501234559867628
57,0.0097970,0.0096436,0.0174978,guidance lower = 0.007854174106166912
58,0.0096608,0.0091484,0.0173319,guidance lower = 0.008183486974583223
59,0.0094317,0.0095753,0.0177071,guidance lower = 0.008131747826551778
60,0.0093758,0.0101777,0.0185787,guidance lower = 0.008400965744677262
61,0.0092892,0.0091910,0.0173007,guidance lower = 0.008109673714408506
62,0.0093940,0.0091354,0.0166225,guidance lower = 0.007487063033458514
63,0.0090573,0.0089699,0.0183702,guidance lower = 0.009400340155340157
64,0.0090255,0.0087075,0.0164670,guidance lower = 0.007759527900280096
65,0.0088945,0.0084043,0.0161806,guidance lower = 0.007776307168965919
66,0.0089517,0.0089221,0.0177255,guidance lower = 0.008803342182475787
67,0.0087156,0.0090957,0.0165355,guidance lower = 0.0074397453274100255
68,0.0088345,0.0091256,0.0180129,guidance lower = 0.008887345425020425
69,0.0085675,0.0086652,0.0169723,guidance lower = 0.00830707019672562
70,0.0085705,0.0086583,0.0167442,guidance lower = 0.00808585252469549
71,0.0085204,0.0085865,0.0170493,guidance lower = 0.008462774113584787
72,0.0084216,0.0079299,0.0165663,guidance lower = 0.008636462155920574
73,0.0084075,0.0079841,0.0168931,guidance lower = 0.008908946855136983
74,0.0083318,0.0081662,0.0171953,guidance lower = 0.009029162116348743
75,0.0082271,0.0082424,0.0178106,guidance lower = 0.009568165748929365
76,0.0079953,0.0080506,0.0170785,guidance lower = 0.009027899278757662
77,0.0080911,0.0081747,0.0165674,guidance lower = 0.008392658801032946
78,0.0079941,0.0075974,0.0166152,guidance lower = 0.009017801604782924
79,0.0078785,0.0077134,0.0164871,guidance lower = 0.008773665755796127
80,0.0078339,0.0078215,0.0169318,guidance lower = 0.009110254414666157
81,0.0077819,0.0081054,0.0174385,guidance lower = 0.009333096504306948
82,0.0076902,0.0072101,0.0170382,guidance lower = 0.0098281179029399
83,0.0076329,0.0076222,0.0168640,guidance lower = 0.009241839739470147
84,0.0075491,0.0079113,0.0167302,guidance lower = 0.008818857085246308
85,0.0075612,0.0071814,0.0170296,guidance lower = 0.009848144430762684
86,0.0075497,0.0081365,0.0169348,guidance lower = 0.008798332443126503
87,0.0074791,0.0074476,0.0167839,guidance lower = 0.009336249640163705
88,0.0074398,0.0070745,0.0175035,guidance lower = 0.01042900346697141
89,0.0073329,0.0075363,0.0173551,guidance lower = 0.009818828509499628
90,0.0072577,0.0075778,0.0178175,guidance lower = 0.010239697670420775
91,0.0072800,0.0071029,0.0165691,guidance lower = 0.009466219371041425
92,0.0073495,0.0075375,0.0168008,guidance lower = 0.009263305184550777
93,0.0072382,0.0071996,0.0170513,guidance lower = 0.00985161069398507
94,0.0071717,0.0070688,0.0173744,guidance lower = 0.010305626711879786
95,0.0071617,0.0071688,0.0172253,guidance lower = 0.010056472837160796
96,0.0071495,0.0072628,0.0182091,guidance lower = 0.010946320835500956
97,0.0071629,0.0072347,0.0176836,guidance lower = 0.010448919334568273
98,0.0070594,0.0072923,0.0171678,guidance lower = 0.009875463656125925
99,0.0071866,0.0072197,0.0166546,guidance lower = 0.009434883124553239
100,0.0070983,0.0070588,0.0179581,guidance lower = 0.010899252723902464
101,0.0071271,0.0068185,0.0180055,guidance lower = 0.011186946875964984
102,0.0071935,0.0069578,0.0181072,guidance lower = 0.011149321837971609
103,0.0070657,0.0072462,0.0178987,guidance lower = 0.010652567319667494
104,0.0071165,0.0070791,0.0188321,guidance lower = 0.011752937609950703
105,0.0070291,0.0069042,0.0190727,guidance lower = 0.012168548845996458
106,0.0070424,0.0072253,0.0184530,guidance lower = 0.011227620240205374
107,0.0071271,0.0071308,0.0187262,guidance lower = 0.011595406079999149
108,0.0070688,0.0070207,0.0185094,guidance lower = 0.011488738756340286
109,0.0070758,0.0071890,0.0172352,guidance lower = 0.010046199417840213
110,0.0070195,0.0068943,0.0176111,guidance lower = 0.010716754883432236
111,0.0070417,0.0069949,0.0167280,guidance lower = 0.009733114678126115
112,0.0070862,0.0070108,0.0174638,guidance lower = 0.010453054048598576
113,0.0070066,0.0071407,0.0181754,guidance lower = 0.011034646656555245
114,0.0069662,0.0069115,0.0175692,guidance lower = 0.010657745114981363
115,0.0070349,0.0068680,0.0179531,guidance lower = 0.011085100054072265
116,0.0070034,0.0069491,0.0184611,guidance lower = 0.01151201487160646
117,0.0069979,0.0067809,0.0184997,guidance lower = 0.011718832302647522
118,0.0069685,0.0068331,0.0175241,guidance lower = 0.010691072600774273
